year,mo,data-type,region,extent,area
1979,1,Goddard,S,5.40,3.47
1980,1,Goddard,S,4.56,3.08
1981,1,Goddard,S,4.41,2.84
1982,1,Goddard,S,5.26,3.25
1983,1,Goddard,S,4.77,3.21
1984,1,Goddard,S,4.78,2.93
1985,1,Goddard,S,4.46,2.87
1986,1,Goddard,S,5.42,3.43
1987,1,Goddard,S,5.13,3.31
1988,1,-9999,S,-9999,-9999
1989,1,Goddard,S,4.74,3.17
1990,1,Goddard,S,4.87,3.39
1991,1,Goddard,S,5.34,3.52
1992,1,Goddard,S,4.75,3.24
1993,1,Goddard,S,4.41,2.55
1994,1,Goddard,S,4.97,3.37
1995,1,Goddard,S,5.64,3.73
1996,1,Goddard,S,5.87,3.55
1997,1,Goddard,S,4.20,2.77
1998,1,Goddard,S,4.46,3.04
1999,1,Goddard,S,4.82,3.11
2000,1,Goddard,S,4.75,2.92
2001,1,Goddard,S,5.23,3.64
2002,1,Goddard,S,4.74,2.95
2003,1,Goddard,S,5.77,4.11
2004,1,Goddard,S,5.59,3.80
2005,1,Goddard,S,4.75,3.18
2006,1,Goddard,S,4.16,2.81
2007,1,Goddard,S,4.67,3.00
2008,1,Goddard,S,6.41,4.07
2009,1,Goddard,S,5.71,3.50
2010,1,Goddard,S,4.96,3.33
2011,1,Goddard,S,4.51,3.05
2012,1,Goddard,S,5.65,3.71
2013,1,Goddard,S,5.54,3.94
2014,1,Goddard,S,6.33,4.38
2015,1,Goddard,S,6.85,4.34
2016,1,Goddard,S,4.69,3.03
2017,1,Goddard,S,3.78,2.56
2018,1,Goddard,S,4.21,2.69
2019,1,Goddard,S,3.87,2.66
2020,1,Goddard,S,4.60,3.09
2021,1,Goddard,S,4.78,2.94
2022,1,Goddard,S,3.94,2.44
2023,1,NRTSI-G,S,3.23,1.95
1979,2,Goddard,S,3.14,2.11
1980,2,Goddard,S,2.82,1.85
1981,2,Goddard,S,2.87,1.74
1982,2,Goddard,S,3.13,1.86
1983,2,Goddard,S,3.07,1.91
1984,2,Goddard,S,2.68,1.75
1985,2,Goddard,S,2.84,1.83
1986,2,Goddard,S,3.19,2.00
1987,2,Goddard,S,3.25,2.00
1988,2,Goddard,S,2.89,1.90
1989,2,Goddard,S,2.98,2.03
1990,2,Goddard,S,3.04,2.21
1991,2,Goddard,S,3.16,2.09
1992,2,Goddard,S,2.84,1.86
1993,2,Goddard,S,2.48,1.37
1994,2,Goddard,S,3.20,2.22
1995,2,Goddard,S,3.56,2.19
1996,2,Goddard,S,2.98,1.77
1997,2,Goddard,S,2.49,1.72
1998,2,Goddard,S,2.99,1.87
1999,2,Goddard,S,2.97,1.77
2000,2,Goddard,S,2.91,1.72
2001,2,Goddard,S,3.65,2.44
2002,2,Goddard,S,2.96,1.82
2003,2,Goddard,S,3.79,2.66
2004,2,Goddard,S,3.58,2.36
2005,2,Goddard,S,2.97,1.97
2006,2,Goddard,S,2.65,1.76
2007,2,Goddard,S,2.90,1.94
2008,2,Goddard,S,3.89,2.40
2009,2,Goddard,S,2.99,1.97
2010,2,Goddard,S,3.11,2.11
2011,2,Goddard,S,2.52,1.86
2012,2,Goddard,S,3.55,2.19
2013,2,Goddard,S,3.84,2.58
2014,2,Goddard,S,3.84,2.65
2015,2,Goddard,S,3.80,2.54
2016,2,Goddard,S,2.79,1.86
2017,2,Goddard,S,2.29,1.64
2018,2,Goddard,S,2.33,1.63
2019,2,Goddard,S,2.65,1.81
2020,2,Goddard,S,2.92,1.83
2021,2,Goddard,S,2.89,1.72
2022,2,Goddard,S,2.21,1.38
2023,2,NRTSI-G,S,1.91,1.15
1979,3,Goddard,S,4.00,2.66
1980,3,Goddard,S,3.29,2.11
1981,3,Goddard,S,3.39,2.16
1982,3,Goddard,S,4.29,2.84
1983,3,Goddard,S,4.02,2.62
1984,3,Goddard,S,3.61,2.34
1985,3,Goddard,S,3.72,2.54
1986,3,Goddard,S,3.70,2.38
1987,3,Goddard,S,4.11,2.75
1988,3,Goddard,S,3.97,2.59
1989,3,Goddard,S,3.93,2.59
1990,3,Goddard,S,3.97,2.79
1991,3,Goddard,S,3.81,2.65
1992,3,Goddard,S,3.57,2.47
1993,3,Goddard,S,3.67,2.24
1994,3,Goddard,S,4.55,3.20
1995,3,Goddard,S,4.63,3.01
1996,3,Goddard,S,4.18,2.65
1997,3,Goddard,S,3.46,2.30
1998,3,Goddard,S,4.11,2.71
1999,3,Goddard,S,3.98,2.58
2000,3,Goddard,S,4.09,2.67
2001,3,Goddard,S,4.73,3.36
2002,3,Goddard,S,3.75,2.36
2003,3,Goddard,S,4.44,3.24
2004,3,Goddard,S,4.53,3.16
2005,3,Goddard,S,4.08,2.73
2006,3,Goddard,S,3.21,2.01
2007,3,Goddard,S,3.83,2.54
2008,3,Goddard,S,5.28,3.68
2009,3,Goddard,S,4.44,3.02
2010,3,Goddard,S,3.85,2.66
2011,3,Goddard,S,3.37,2.26
2012,3,Goddard,S,4.55,2.91
2013,3,Goddard,S,5.02,3.49
2014,3,Goddard,S,4.90,3.32
2015,3,Goddard,S,4.96,3.45
2016,3,Goddard,S,4.07,2.77
2017,3,Goddard,S,2.70,1.83
2018,3,Goddard,S,3.54,2.31
2019,3,Goddard,S,3.17,2.10
2020,3,Goddard,S,4.00,2.59
2021,3,Goddard,S,4.48,2.82
2022,3,Goddard,S,2.86,1.86
2023,3,NRTSI-G,S,2.80,1.75
1979,4,Goddard,S,7.49,5.45
1980,4,Goddard,S,5.40,3.68
1981,4,Goddard,S,5.84,4.07
1982,4,Goddard,S,7.72,5.79
1983,4,Goddard,S,6.47,4.70
1984,4,Goddard,S,6.42,4.53
1985,4,Goddard,S,6.49,4.74
1986,4,Goddard,S,6.39,4.56
1987,4,Goddard,S,6.80,5.04
1988,4,Goddard,S,6.29,4.44
1989,4,Goddard,S,6.31,4.50
1990,4,Goddard,S,7.00,5.18
1991,4,Goddard,S,7.05,5.18
1992,4,Goddard,S,6.79,5.00
1993,4,Goddard,S,6.65,4.90
1994,4,Goddard,S,7.22,5.45
1995,4,Goddard,S,7.27,5.40
1996,4,Goddard,S,7.28,5.37
1997,4,Goddard,S,6.49,4.84
1998,4,Goddard,S,6.85,5.12
1999,4,Goddard,S,6.89,5.13
2000,4,Goddard,S,7.13,5.31
2001,4,Goddard,S,7.04,5.30
2002,4,Goddard,S,6.33,4.59
2003,4,Goddard,S,7.21,5.56
2004,4,Goddard,S,7.28,5.39
2005,4,Goddard,S,7.03,5.19
2006,4,Goddard,S,6.01,4.28
2007,4,Goddard,S,6.42,4.70
2008,4,Goddard,S,8.24,6.23
2009,4,Goddard,S,7.80,5.96
2010,4,Goddard,S,6.72,5.00
2011,4,Goddard,S,6.10,4.39
2012,4,Goddard,S,7.31,5.55
2013,4,Goddard,S,7.62,5.75
2014,4,Goddard,S,8.34,6.41
2015,4,Goddard,S,8.37,6.37
2016,4,Goddard,S,7.22,5.38
2017,4,Goddard,S,5.44,3.93
2018,4,Goddard,S,6.03,4.15
2019,4,Goddard,S,5.72,4.18
2020,4,Goddard,S,6.66,4.81
2021,4,Goddard,S,7.13,5.29
2022,4,Goddard,S,5.95,4.25
2023,4,NRTSI-G,S,5.49,3.96
1979,5,Goddard,S,10.83,8.30
1980,5,Goddard,S,8.86,6.44
1981,5,Goddard,S,9.35,7.08
1982,5,Goddard,S,10.76,8.27
1983,5,Goddard,S,9.53,7.16
1984,5,Goddard,S,9.75,7.41
1985,5,Goddard,S,10.15,7.84
1986,5,Goddard,S,9.30,7.04
1987,5,Goddard,S,9.69,7.53
1988,5,Goddard,S,9.60,7.23
1989,5,Goddard,S,10.30,8.00
1990,5,Goddard,S,9.72,7.46
1991,5,Goddard,S,10.28,7.86
1992,5,Goddard,S,9.92,7.62
1993,5,Goddard,S,10.10,7.89
1994,5,Goddard,S,10.41,8.21
1995,5,Goddard,S,10.42,8.19
1996,5,Goddard,S,10.92,8.65
1997,5,Goddard,S,10.12,7.91
1998,5,Goddard,S,10.33,7.91
1999,5,Goddard,S,10.27,8.07
2000,5,Goddard,S,10.92,8.56
2001,5,Goddard,S,10.33,8.00
2002,5,Goddard,S,9.51,7.18
2003,5,Goddard,S,10.74,8.45
2004,5,Goddard,S,10.47,8.19
2005,5,Goddard,S,10.29,7.96
2006,5,Goddard,S,9.46,7.20
2007,5,Goddard,S,9.65,7.54
2008,5,Goddard,S,11.05,8.60
2009,5,Goddard,S,10.93,8.46
2010,5,Goddard,S,10.64,8.33
2011,5,Goddard,S,10.09,7.85
2012,5,Goddard,S,10.46,8.15
2013,5,Goddard,S,10.92,8.49
2014,5,Goddard,S,11.52,9.03
2015,5,Goddard,S,11.72,9.21
2016,5,Goddard,S,10.10,7.91
2017,5,Goddard,S,9.01,6.83
2018,5,Goddard,S,9.32,7.15
2019,5,Goddard,S,8.85,6.84
2020,5,Goddard,S,9.87,7.61
2021,5,Goddard,S,10.40,8.21
2022,5,Goddard,S,9.42,7.29
2023,5,NRTSI-G,S,8.36,6.45
1979,6,Goddard,S,14.19,11.22
1980,6,Goddard,S,12.49,9.58
1981,6,Goddard,S,13.11,10.16
1982,6,Goddard,S,13.42,10.50
1983,6,Goddard,S,12.64,9.77
1984,6,Goddard,S,13.23,10.64
1985,6,Goddard,S,13.43,10.51
1986,6,Goddard,S,12.69,9.72
1987,6,Goddard,S,12.68,9.91
1988,6,Goddard,S,13.09,10.28
1989,6,Goddard,S,13.58,10.81
1990,6,Goddard,S,13.08,10.35
1991,6,Goddard,S,13.07,9.99
1992,6,Goddard,S,12.81,10.00
1993,6,Goddard,S,13.15,10.37
1994,6,Goddard,S,13.56,10.73
1995,6,Goddard,S,13.29,10.46
1996,6,Goddard,S,13.87,11.09
1997,6,Goddard,S,13.12,10.22
1998,6,Goddard,S,13.31,10.34
1999,6,Goddard,S,13.65,10.83
2000,6,Goddard,S,13.89,11.04
2001,6,Goddard,S,13.42,10.56
2002,6,Goddard,S,12.38,9.70
2003,6,Goddard,S,13.99,11.16
2004,6,Goddard,S,13.78,10.89
2005,6,Goddard,S,13.29,10.31
2006,6,Goddard,S,13.34,10.58
2007,6,Goddard,S,13.29,10.48
2008,6,Goddard,S,14.06,11.40
2009,6,Goddard,S,13.91,11.09
2010,6,Goddard,S,14.41,11.65
2011,6,Goddard,S,13.33,10.54
2012,6,Goddard,S,13.55,10.79
2013,6,Goddard,S,14.15,11.27
2014,6,Goddard,S,14.69,12.06
2015,6,Goddard,S,14.47,11.48
2016,6,Goddard,S,13.24,10.61
2017,6,Goddard,S,12.41,9.80
2018,6,Goddard,S,12.89,10.23
2019,6,Goddard,S,12.25,9.75
2020,6,Goddard,S,13.27,10.59
2021,6,Goddard,S,13.54,11.05
2022,6,Goddard,S,12.22,9.56
2023,6,NRTSI-G,S,11.02,8.49
1979,7,Goddard,S,16.52,13.26
1980,7,Goddard,S,15.56,12.18
1981,7,Goddard,S,16.04,12.78
1982,7,Goddard,S,15.87,12.47
1983,7,Goddard,S,15.47,12.37
1984,7,Goddard,S,16.40,13.38
1985,7,Goddard,S,15.72,12.48
1986,7,Goddard,S,15.32,12.09
1987,7,Goddard,S,15.75,12.50
1988,7,Goddard,S,15.75,12.62
1989,7,Goddard,S,15.71,12.58
1990,7,Goddard,S,15.57,12.27
1991,7,Goddard,S,15.55,12.22
1992,7,Goddard,S,15.89,12.58
1993,7,Goddard,S,15.85,12.72
1994,7,Goddard,S,16.30,13.12
1995,7,Goddard,S,15.74,12.53
1996,7,Goddard,S,16.12,12.89
1997,7,Goddard,S,15.92,12.75
1998,7,Goddard,S,15.96,12.66
1999,7,Goddard,S,16.28,13.06
2000,7,Goddard,S,16.10,12.99
